Date,Open,High,Low,Close,Adj Close,Volume
1998-07-22,20.962999,21.303801,20.962999,21.286800,10.997581,24300
1998-07-23,21.303801,21.474300,21.218599,21.218599,10.962344,15000
1998-07-24,21.133400,21.133400,21.133400,21.133400,10.918327,6000
1998-07-27,20.323900,21.133400,19.599501,19.599501,10.125856,12600
1998-07-28,20.451700,20.622101,20.451700,20.622101,10.654170,34500
1998-07-29,20.281200,20.281200,19.974501,20.281200,10.478049,5700
1998-07-30,19.983000,19.983000,19.599501,19.855200,10.257961,3300
1998-07-31,null,null,null,null,null,null
1998-08-03,null,null,null,null,null,null
1998-08-04,18.917801,18.917801,18.917801,18.917801,9.773665,3600
1998-08-05,18.184900,18.406500,18.184900,18.406500,9.509504,2400
1998-08-06,19.088200,19.088200,18.917801,18.917801,9.773665,6000
1998-08-07,18.576900,18.576900,18.576900,18.917801,9.773665,3000
1998-08-10,18.747400,18.747400,18.747400,18.747400,9.685630,1500
1998-08-11,18.406500,18.423500,18.065701,18.065701,9.333436,7200
1998-08-12,18.406500,18.432100,18.321301,18.432100,9.522733,4500
1998-08-13,18.576900,18.576900,18.236099,18.236099,9.421470,6300
1998-08-14,18.576900,18.747400,18.576900,18.747400,9.685630,2100
1998-08-17,18.406500,18.747400,18.406500,18.747400,9.685630,4500
1998-08-18,18.747400,18.747400,18.662100,18.662100,9.641560,1800
1998-08-19,18.824100,18.824100,18.824100,18.824100,9.725255,600
1998-08-20,18.917801,18.917801,18.576900,18.576900,9.597545,30600
1998-08-21,18.491699,18.491699,18.236099,18.491699,9.553524,7500
1998-08-24,17.980400,18.065701,17.980400,17.980400,9.289364,8700
1998-08-25,17.724800,17.912300,17.554300,17.554300,9.069226,15300
1998-08-26,17.383900,17.383900,17.383900,17.383900,8.981193,1500
1998-08-27,16.872601,16.872601,16.872601,16.872601,8.717034,3000
1998-08-28,17.043100,17.043100,17.043100,16.872601,8.717034,1500
1998-08-31,16.020500,16.361300,16.020500,16.361300,8.452879,3600
