Date,Open,High,Low,Close,Adj Close,Volume
1996-12-16,7.053060,7.078380,7.027800,7.032840,4.904500,105478
1996-12-17,6.989880,7.027800,6.951960,7.027800,4.900986,73007
1996-12-18,7.078380,7.078380,7.002530,7.015190,4.892191,56876
1996-12-19,7.027800,7.040460,6.977270,7.040460,4.909813,135571
1996-12-20,7.128910,7.166830,7.053060,7.053060,4.918601,138983
1996-12-23,7.027800,7.063200,6.951960,6.951960,4.848096,94000
1996-12-24,null,null,null,null,null,null
1996-12-25,null,null,null,null,null,null
1996-12-26,null,null,null,null,null,null
1996-12-27,6.951960,7.002530,6.926690,6.972180,4.862196,46845
1996-12-30,7.002530,7.053060,7.002530,7.027800,4.900986,49430
1996-12-31,null,null,null,null,null,null
1997-01-01,null,null,null,null,null,null
1997-01-02,6.951960,7.065720,6.951960,6.977270,4.865747,39399
1997-01-03,7.078380,7.394370,7.078380,7.394370,5.156621,309299
1997-01-06,7.457560,7.596600,7.457560,7.533400,5.253575,299786
1997-01-07,7.508140,7.609250,7.444900,7.520750,5.244753,217161
1997-01-08,7.508140,7.558670,7.503050,7.510660,5.237717,282309
1997-01-09,7.508140,7.508140,7.381710,7.447470,5.193651,300716
1997-01-10,7.457560,7.581410,7.391850,7.558670,5.271197,351801
1997-01-13,7.609250,7.862050,7.583990,7.824130,5.456321,243014
1997-01-14,7.836740,8.013740,7.786210,7.892360,5.503903,381376
1997-01-15,7.963170,7.965690,7.841830,7.841830,5.468666,111373
1997-01-16,7.836740,7.874660,7.773550,7.819090,5.452806,97619
1997-01-17,7.887320,7.950510,7.803910,7.899980,5.509218,214472
1997-01-20,7.988430,7.988430,7.841830,7.849400,5.473945,52843
1997-01-21,null,null,null,null,null,null
1997-01-22,7.736200,7.806430,7.659780,7.806430,5.443979,158838
1997-01-23,7.672440,7.748280,7.639490,7.672440,5.350537,78385
1997-01-24,7.508140,7.824130,7.508140,7.798870,5.438707,47982
1997-01-27,7.710370,7.862050,7.710370,7.786210,5.429878,116853
1997-01-28,7.786210,7.836740,7.786210,7.811470,5.447494,75903
1997-01-29,7.836740,7.836740,7.736200,7.736200,5.395002,36711
1997-01-30,7.824130,7.869620,7.824130,7.836740,5.465117,59771
1997-01-31,7.963170,8.051620,7.874660,7.874660,5.491560,100101
1997-02-03,7.937900,7.963170,7.937900,7.937900,5.535662,24922
1997-02-04,7.963170,8.064280,7.963170,8.026300,5.597310,106719
1997-02-05,8.076940,8.114850,8.064280,8.102200,5.650239,84279
1997-02-06,null,null,null,null,null,null
1997-02-07,8.001090,8.013740,8.001090,8.013740,5.588551,1034
1997-02-10,7.963170,8.054190,7.963170,8.051620,5.614967,86658
1997-02-11,8.064280,8.066800,8.041530,8.041530,5.607931,74352
1997-02-12,null,null,null,null,null,null
1997-02-13,7.950510,7.950510,7.836740,7.854440,5.477459,170109
1997-02-14,7.887320,7.937900,7.864580,7.899980,5.509218,106202
1997-02-17,7.899980,7.917680,7.874660,7.905020,5.512732,41261
1997-02-18,7.950510,8.039010,7.937900,7.937900,5.535662,75386
1997-02-19,null,null,null,null,null,null
1997-02-20,7.892360,7.963170,7.887320,7.932810,5.532113,119645
1997-02-21,7.917680,7.963170,7.892360,7.963170,5.553286,75386
1997-02-24,7.925240,8.001090,7.925240,7.950510,5.544455,94103
1997-02-25,8.001090,8.258930,8.001090,8.241230,5.747195,229260
1997-02-26,8.266500,8.367660,8.266500,8.352480,5.824777,321709
1997-02-27,8.367660,8.494030,8.357530,8.468770,5.905876,180244
1997-02-28,8.468770,8.468770,8.266500,8.392920,5.852980,114165
1997-03-03,8.405580,8.418190,8.291810,8.329740,5.808918,49740
1997-03-04,8.458630,8.557230,8.456120,8.501610,5.928776,203511
1997-03-05,8.418190,8.847950,8.418190,8.784760,6.126238,418293
1997-03-06,8.852990,9.055270,8.847950,9.055270,6.314883,657998
1997-03-07,9.042610,9.042610,8.911140,8.986980,6.267260,102272
1997-03-10,8.923800,8.999640,8.923800,8.923800,6.223200,66389
1997-03-11,8.999640,9.163940,8.999640,9.100750,6.346601,156356
1997-03-12,9.105790,9.151340,8.903580,8.974370,6.258467,165042
1997-03-13,8.913710,9.037570,8.898530,9.037570,6.302540,225951
1997-03-14,8.873210,9.088100,8.847950,8.974370,6.258467,116646
1997-03-17,9.353550,9.606360,8.878310,8.878310,6.191477,537112
1997-03-18,9.100750,9.227180,8.873210,8.974370,6.258467,372793
